,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
0,E 115 St & Lexington Ave,40.797911,-73.9423,E 118 St & Madison Ave,40.801486600000004,-73.9442507
1,St Marks Pl & 1 Ave,40.72779126,-73.98564945,St Marks Pl & 2 Ave,40.7284186,-73.98713956
2,Bedford Ave & Bergen St,40.676368,-73.95291800000001,Grand Ave & Bergen St,40.678045000000004,-73.962408
3,E 39 St & 3 Ave,40.7489006,-73.97604882,W 41 St & 8 Ave,40.75640548,-73.9900262
4,W 55 St & 6 Ave,40.76309387270797,-73.97835016250609,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626
5,Broadway & Roebling St,40.70924826276157,-73.96063148975372,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937
6,E 6 St & Avenue D,40.72228087,-73.97668709,E 6 St & Avenue B,40.72453734,-73.98185424
7,Lenox Ave & W 117 St,40.8025566,-73.9490782,Lexington Ave & E 120 St,40.8013066,-73.93981670000001
8,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,Greenwich Ave & Charles St,40.735238,-74.000271
9,W 4 St & 7 Ave S,40.73401143,-74.00293877,Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097
10,St Marks Pl & 2 Ave,40.7284186,-73.98713956,W 16 St & 8 Ave,40.74102150900266,-74.001384973526
11,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,Central Park West & W 85 St,40.78472675,-73.96961715
12,W 44 St & 5 Ave,40.75500254,-73.98014437,Broadway & W 53 St,40.76344058,-73.98268129
13,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,Allen St & Stanton St,40.722055,-73.989111
14,E 58 St & 1 Ave,40.75892386377695,-73.96226227283478,W 84 St & Columbus Ave,40.78499979,-73.97283406
15,Broadway & W 37 St,40.75172632,-73.98753523,11 Ave & W 41 St,40.76030096,-73.99884222
16,8 Ave & W 33 St,40.751551,-73.993934,W 46 St & 11 Ave,40.76341379,-73.99667444
17,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,Union Ave & N 12 St,40.71924,-73.95241999999999
18,Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097,E 9 St & Avenue C,40.72521311,-73.97768752
19,Sullivan St & Washington Sq,40.73047747,-73.99906065,E 11 St & 1 Ave,40.72953837,-73.98426726
20,W 43 St & 10 Ave,40.76009437,-73.99461843,E 19 St & 3 Ave,40.73624527,-73.98473765
21,W 84 St & Columbus Ave,40.78499979,-73.97283406,E 110 St & Madison Ave,40.796153499999996,-73.94782145
22,Central Park West & W 102 St,40.795346,-73.96186,Broadway & Moylan Pl,40.8143256,-73.9590255
23,Clark St & Henry St,40.69760127,-73.99344559,Pioneer St & Richards St,40.677774799999995,-74.0094613
24,W 16 St & 8 Ave,40.74102150900266,-74.001384973526,E 20 St & FDR Drive,40.73314259,-73.97573881
25,E 4 St & 2 Ave,40.726280700000004,-73.98978041,E 2 St & Avenue B,40.72217444,-73.98368779
26,E 25 St & 2 Ave,40.73912601,-73.97973776,E 24 St & Park Ave S,40.74096374,-73.98602213
27,Barrow St & Hudson St,40.73172428,-74.00674436,Bank St & Washington St,40.7361967,-74.00859207
28,W 44 St & 5 Ave,40.75500254,-73.98014437,11 Ave & W 41 St,40.76030096,-73.99884222
29,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,Cambridge Pl & Gates Ave,40.68488,-73.96304
30,Lispenard St & Broadway,40.71939226,-74.00247214,W 31 St & 7 Ave,40.749156,-73.9916
31,Clinton St & Joralemon St,40.69239502,-73.99337909,Henry St & Degraw St,40.684751399999996,-73.99917254
32,Milton St & Franklin St,40.72906,-73.95779,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117
