CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/14/2021,10:40,,,,,,LOIS AVENUE                     ,EATIN COURT,,0,0,0,0,0,0,0,0,Unspecified,,,,,4391871,Station Wagon/Sport Utility Vehicle,,,,
07/01/2014,9:30,,,,,,,,PKG LOT 146-25 NORTHERN BLVD            ,2,0,2,0,0,0,0,0,Unspecified,,,,,360548,PASSENGER VEHICLE,,,,
01/11/2013,19:00,,,,,,BRONX RIVER AVENUE              ,BRUCKNER BOULEVARD              ,,0,0,0,0,0,0,0,0,Unspecified,,,,,82144,PASSENGER VEHICLE,,,,
06/30/2014,10:00,,,,,,,,62 STREET & CENTER DR                   ,0,0,0,0,0,0,0,0,Other Vehicular,View Obstructed/Limited,,,,359614,TAXI,BICYCLE,,,
01/03/2014,14:45,,,,,,FOSTER AVENUE                   ,EAST 3 STREET                   ,,1,0,1,0,0,0,0,0,Unspecified,,,,,151852,PICK-UP TRUCK,,,,
06/30/2014,10:30,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2849652,VAN,VAN,,,
10/26/2020,14:40,BRONX,10464,,,,,,870       SHORE ROAD                    ,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4361477,Station Wagon/Sport Utility Vehicle,,,,
06/30/2014,11:15,,,40.6664775,-73.8081241,"(40.6664775, -73.8081241)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,,,,3097776,PASSENGER VEHICLE,BUS,,,
01/11/2013,20:00,,,,,,,,,0,0,0,0,0,0,0,0,Outside Car Distraction,,,,,2918893,PASSENGER VEHICLE,,,,
06/30/2014,12:10,,,,,,MORNINGSTAR ROAD                ,JOHN STREET                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,360046,PASSENGER VEHICLE,VAN,,,
01/11/2013,22:00,,,,,,,,,1,0,0,0,0,0,1,0,Outside Car Distraction,Unspecified,,,,2934205,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/03/2014,20:55,MANHATTAN,10010,40.7408734,-73.9879831,"(40.7408734, -73.9879831)",EAST 23 STREET                  ,MADISON AVENUE                  ,,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,,,,25674,TAXI,TAXI,,,
02/13/2021,17:45,BRONX,10473,,,,CASTLE HILL AVENUE              ,CINCINATUS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4391988,Sedan,,,,
06/30/2014,14:45,,,,,,,,5700 AVENUE U(PARKING LOT)              ,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,360290,PASSENGER VEHICLE,PICK-UP TRUCK,,,
02/13/2021,22:05,,,,,,CLEARVIEW EXPRESSWAY            ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4392145,Station Wagon/Sport Utility Vehicle,,,,
01/11/2013,7:05,,,,,,,,,1,0,0,0,0,0,1,0,Lost Consciousness,Unspecified,Unspecified,,,2975984,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
06/30/2014,16:30,,,,,,SHELL ROAD                      ,SHORE PARKWAY                   ,,1,0,1,0,0,0,0,0,Unspecified,,,,,360267,UNKNOWN,,,,
01/11/2013,9:15,,,,,,,,I/O GARAGE 11 METROTECH CENTER          ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,188938,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/03/2014,6:00,,,,,,,,,0,0,0,0,0,0,0,0,Other Vehicular,Pavement Slippery,,,,2897732,LARGE COM VEH(6 OR MORE TIRES),LIVERY VEHICLE,,,
01/02/2014,10:00,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,2913911,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
02/12/2021,23:14,BROOKLYN,11212,40.669403,-73.912605,"(40.669403, -73.912605)",PITKIN AVENUE                   ,BRISTOL STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4391932,Sedan,,,,
02/12/2021,23:50,BRONX,10458,,,,EAST FORDHAM ROAD               ,SOUTHERN BOULEVARD,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4391483,Bike,,,,
01/02/2014,14:50,,,,,,ASTORIA BOULEVARD               ,77 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,278625,PICK-UP TRUCK,PASSENGER VEHICLE,,,
01/10/2013,15:00,,,,,,94 STREET                       ,GCP                             ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,281082,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/30/2014,21:40,,,,,,JAMAICA BAY SHORELINE           ,CROSSBAY BOULEVARD              ,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,360456,PASSENGER VEHICLE,,,,
01/10/2013,15:45,,,40.5839626,-73.9252914,"(40.5839626, -73.9252914)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,2943875,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/11/2021,10:40,,,,,,STATEN ISLAND EXPRESSWAY        ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4391085,Sedan,Sedan,,,
06/30/2014,7:10,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2865418,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2013,16:30,,,,,,,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,2918920,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/30/2014,8:20,,,,,,,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,2919463,PASSENGER VEHICLE,PICK-UP TRUCK,,,
01/10/2013,17:45,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2913926,SPORT UTILITY / STATION WAGON,OTHER,,,
06/30/2014,9:00,,,,,,,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,2914421,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2013,18:15,,,,,,,,P/L OF 35-15 FRANCIS LEWIS BOULEVARD    ,1,0,1,0,0,0,0,0,Glare,,,,,260839,PASSENGER VEHICLE,,,,
06/29/2014,0:55,,,,,,,,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,2976928,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/29/2014,11:30,MANHATTAN,10036,40.760927,-73.9945276,"(40.760927, -73.9945276)",WEST 44 STREET                  ,10 AVENUE                       ,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,455105,VAN,VAN,,,
02/11/2021,20:00,,,,,,MEEKER AVENUE                   ,MC GUINNESS BLVD SOUTH,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4391504,Sedan,Sedan,,,
01/02/2014,20:10,,,40.5945547,-73.997568,"(40.5945547, -73.997568)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2946651,PASSENGER VEHICLE,UNKNOWN,,,
01/10/2013,20:31,,,,,,,,PARKING LOT 68-05 WOODHAVEN BLVD        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,265303,PASSENGER VEHICLE,PICK-UP TRUCK,,,
02/11/2021,4:19,,,,,,STATEN ISLAND EXPRESSWAY        ,,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4391036,Pick-up Truck,,,,
01/02/2014,20:35,BROOKLYN,11208,40.6694586,-73.8628301,"(40.6694586, -73.8628301)",LINDEN BOULEVARD                ,ELDERTS LANE                    ,,0,0,0,0,0,0,0,0,Unspecified,,,,,169930,PASSENGER VEHICLE,,,,
01/10/2013,22:50,,,,,,,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3056046,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/29/2014,14:20,,,40.6518653,-73.8653425,"(40.6518653, -73.8653425)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2968557,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/10/2021,0:18,QUEENS,11377,,,,,,24-55     BROOKLYN QUEENS EXPRESSWAY WES,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4391161,Station Wagon/Sport Utility Vehicle,,,,
06/29/2014,14:50,,,40.7620943,-73.7569053,"(40.7620943, -73.7569053)",,,,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,3081084,MOTORCYCLE,PASSENGER VEHICLE,,,
01/10/2013,7:00,,,,,,QUEENS BOULEVARD                ,VANDAM STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,240793,PASSENGER VEHICLE,TAXI,,,
02/10/2021,11:10,,,,,,OCEAN PARKWAY                   ,CHURCH AVENUE,,1,0,0,0,0,0,1,0,Unspecified,,,,,4391089,Motorcycle,,,,
01/02/2014,8:50,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,3018074,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
